Name,State,upto,Address,telephone/Mobile no.,Principal name
"BHARATIYA VIDYA BHAVAN, MONDAL PUBLIC SCHOOL",ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2022 
","VILLAGE: MADHUPURPOST: DIGLIPURNORTH ANDAMAN,744202",",03192272344","
Head/Principal Name:MRS. SAGARIKA MONDAL
"
CARMEL SEC SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2022 
","PHOENIX BAY HADDO POST PORT BLAIR A & N ISLANDS,744102","3192,230411","
Head/Principal Name:Sr Maria Reshma
"
CRESCENT PUBLIC SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2024 
","WIMBERLY GUNJ PO, SOUTH ANDAMAN, FERRAR GUNJ ANDAMAN,744206","3192,256129","
Head/Principal Name:E SAIRA BANU
"
GOVERNMENT SECONDARY SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2023 
","PRATHRAPUR BRIJKUNJ PO BRICHKUNJ P O A & N ISLANDS,744206","03192,55254","
Head/Principal Name:BHAGWAN DASS
"
GOVERNMENT SECONDARY SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2020 
","PINAKI, BILLGROUND, N & M ANDAMAN,744201","0319,270798","
Head/Principal Name:SURESH  CHANDRA  MAZUMDER
"
GOVERNMENT SECONDARY SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2026 
","MADHEEPUR, DIGLIPUR, NORTH ANDAMAN,744206","03192,03192","
Head/Principal Name:P.J. EAPPER
"
GOVERNMENT SR SECONDARY SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2021 
","C F O  NALLAH VIL. DHARAMPUR PO BETAPUR A & N ISLANDS,744201","3192,270087","
Head/Principal Name:SAROJ KUMAR BANERJEE
"
GOVT  SECONDARY SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2025 
","SHIBPUR  AERIAL BAY P.O NTH ANDAMAN A & N ISLANDS,744202","3192,272389","
Head/Principal Name:M RAJESHWARAN
"
GOVT  SENIOR SECONDARY SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2021 
","KISHORI NAGAR NORTH ANDAMAN A & N ISLANDS,744202","03192,282618","
Head/Principal Name:MOTILAL HOWLADAR
"
GOVT  SR SECONDARY SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2015 
","SWARAJGRAM POST   DIGLIPUR NORTH ANDAMAN A & N ISLANDS,744202","0319,272927","
Head/Principal Name:SUSAMA BISWAS
"
GOVT BOYS SR SEC SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2021 
","MIDDLE POINT PT BLAIR A & N ISLANDS,744101","3192,232275","
Head/Principal Name:MALATI SINGH
"
GOVT DECONDARY SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2017 
","TAMALOO, CAR NICOBAR, DISTT NICOBAR, A & N ISLAND,744301","3193,265037","
Head/Principal Name:SAFYAZ BEGUM
"
GOVT GIRLS SR SEC SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2022 
","PT BLAIR A & N ISLANDS 744104,744104","3192,232344","
Head/Principal Name:SANGEETA CHAND
"
GOVT MODEL SENI SECONDARY SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2022 
","KAMTA NANCOWRIE A & N ISLANDS,744206",",","
Head/Principal Name:g sriniwas rao
"
GOVT MODEL SENIOR SECONDARY SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2022 
","FERRARGUNJ  P.O.BEACHDERA SOUTH ANDAMAN A & N ISLANDS,744101","0319,266180","
Head/Principal Name:Vibha Sethi
"
GOVT MODEL SR SEC SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2023 
","P.O. ABERDEEN BAZAAR PT BLAIR A & N ISLANDS,744101","3192,232589","
Head/Principal Name:SHARA CHANDRAN G
"
GOVT RABINDRA BANGLA VIDYALAYA,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2021 
","PT BLAIR A & N ISLANDS 744101,744101","3192,233410","
Head/Principal Name:LOKESH KUMAR
"
GOVT SEC SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2009 
","MOHANPUR V MAYABUNDER NORTH ANDEMAN,744206",",","
Head/Principal Name:SUBINOY DEY
"
